----------------------------------------
[16.12.2020 | 14:32:18] All frames loaded, count: 28
[16.12.2020 | 14:32:18] Binarization frame 0 complete!
[16.12.2020 | 14:32:18] Binarization frame 1 complete!
[16.12.2020 | 14:32:18] Binarization frame 2 complete!
[16.12.2020 | 14:32:18] Binarization frame 3 complete!
[16.12.2020 | 14:32:18] Binarization frame 4 complete!
[16.12.2020 | 14:32:18] Binarization frame 5 complete!
[16.12.2020 | 14:32:18] Binarization frame 6 complete!
[16.12.2020 | 14:32:18] Binarization frame 7 complete!
[16.12.2020 | 14:32:18] Binarization frame 8 complete!
[16.12.2020 | 14:32:18] Binarization frame 9 complete!
[16.12.2020 | 14:32:18] Binarization frame 10 complete!
[16.12.2020 | 14:32:18] Binarization frame 11 complete!
[16.12.2020 | 14:32:18] Binarization frame 12 complete!
[16.12.2020 | 14:32:18] Binarization frame 13 complete!
[16.12.2020 | 14:32:18] Binarization frame 14 complete!
[16.12.2020 | 14:32:18] Binarization frame 15 complete!
[16.12.2020 | 14:32:18] Binarization frame 16 complete!
[16.12.2020 | 14:32:18] Binarization frame 17 complete!
[16.12.2020 | 14:32:18] Binarization frame 18 complete!
[16.12.2020 | 14:32:18] Binarization frame 19 complete!
[16.12.2020 | 14:32:18] Binarization frame 20 complete!
[16.12.2020 | 14:32:18] Binarization frame 21 complete!
[16.12.2020 | 14:32:18] Binarization frame 22 complete!
[16.12.2020 | 14:32:18] Binarization frame 23 complete!
[16.12.2020 | 14:32:18] Binarization frame 24 complete!
[16.12.2020 | 14:32:18] Binarization frame 25 complete!
[16.12.2020 | 14:32:18] Binarization frame 26 complete!
[16.12.2020 | 14:32:18] Binarization frame 27 complete!
[16.12.2020 | 14:32:18] Binarization is done! Time spent: 1198ms
[16.12.2020 | 14:32:18] Calculation frame 0 complete!
[16.12.2020 | 14:32:18] Calculation frame 1 complete!
[16.12.2020 | 14:32:18] Calculation frame 2 complete!
[16.12.2020 | 14:32:18] Calculation frame 3 complete!
[16.12.2020 | 14:32:18] Calculation frame 4 complete!
[16.12.2020 | 14:32:18] Calculation frame 5 complete!
[16.12.2020 | 14:32:18] Calculation frame 6 complete!
[16.12.2020 | 14:32:18] Calculation frame 7 complete!
[16.12.2020 | 14:32:18] Calculation frame 8 complete!
[16.12.2020 | 14:32:18] Calculation frame 9 complete!
[16.12.2020 | 14:32:18] Calculation frame 10 complete!
[16.12.2020 | 14:32:18] Calculation frame 11 complete!
[16.12.2020 | 14:32:18] Calculation frame 12 complete!
[16.12.2020 | 14:32:18] Calculation frame 13 complete!
[16.12.2020 | 14:32:18] Calculation frame 14 complete!
[16.12.2020 | 14:32:18] Calculation frame 15 complete!
[16.12.2020 | 14:32:18] Calculation frame 16 complete!
[16.12.2020 | 14:32:18] Calculation frame 17 complete!
[16.12.2020 | 14:32:18] Calculation frame 18 complete!
[16.12.2020 | 14:32:18] Calculation frame 19 complete!
[16.12.2020 | 14:32:18] Calculation frame 20 complete!
[16.12.2020 | 14:32:18] Calculation frame 21 complete!
[16.12.2020 | 14:32:18] Calculation frame 22 complete!
[16.12.2020 | 14:32:18] Calculation frame 23 complete!
[16.12.2020 | 14:32:18] Calculation frame 24 complete!
[16.12.2020 | 14:32:18] Calculation frame 25 complete!
[16.12.2020 | 14:32:18] Calculation frame 26 complete!
[16.12.2020 | 14:32:18] Calculation frame 27 complete!
[16.12.2020 | 14:32:18] Calculation is done! Time spent: 9ms
----------------------------------------
----------------------------------------
[16.12.2020 | 14:37:16] All frames loaded, count: 769
[16.12.2020 | 14:37:16] Binarization frame 0 complete!
[16.12.2020 | 14:37:16] Binarization frame 1 complete!
[16.12.2020 | 14:37:16] Binarization frame 2 complete!
[16.12.2020 | 14:37:16] Binarization frame 3 complete!
[16.12.2020 | 14:37:16] Binarization frame 4 complete!
[16.12.2020 | 14:37:16] Binarization frame 5 complete!
[16.12.2020 | 14:37:16] Binarization frame 6 complete!
[16.12.2020 | 14:37:16] Binarization frame 7 complete!
[16.12.2020 | 14:37:16] Binarization frame 8 complete!
[16.12.2020 | 14:37:16] Binarization frame 9 complete!
[16.12.2020 | 14:37:16] Binarization frame 10 complete!
[16.12.2020 | 14:37:16] Binarization frame 11 complete!
[16.12.2020 | 14:37:16] Binarization frame 12 complete!
[16.12.2020 | 14:37:16] Binarization frame 13 complete!
[16.12.2020 | 14:37:16] Binarization frame 14 complete!
[16.12.2020 | 14:37:16] Binarization frame 15 complete!
[16.12.2020 | 14:37:16] Binarization frame 16 complete!
[16.12.2020 | 14:37:16] Binarization frame 17 complete!
[16.12.2020 | 14:37:16] Binarization frame 18 complete!
[16.12.2020 | 14:37:16] Binarization frame 19 complete!
[16.12.2020 | 14:37:16] Binarization frame 20 complete!
[16.12.2020 | 14:37:16] Binarization frame 21 complete!
[16.12.2020 | 14:37:16] Binarization frame 22 complete!
[16.12.2020 | 14:37:16] Binarization frame 23 complete!
[16.12.2020 | 14:37:16] Binarization frame 24 complete!
[16.12.2020 | 14:37:16] Binarization frame 25 complete!
[16.12.2020 | 14:37:16] Binarization frame 26 complete!
[16.12.2020 | 14:37:16] Binarization frame 27 complete!
[16.12.2020 | 14:37:16] Binarization frame 28 complete!
[16.12.2020 | 14:37:16] Binarization frame 29 complete!
[16.12.2020 | 14:37:16] Binarization frame 30 complete!
[16.12.2020 | 14:37:16] Binarization frame 31 complete!
[16.12.2020 | 14:37:16] Binarization frame 32 complete!
[16.12.2020 | 14:37:16] Binarization frame 33 complete!
[16.12.2020 | 14:37:16] Binarization frame 34 complete!
[16.12.2020 | 14:37:16] Binarization frame 35 complete!
[16.12.2020 | 14:37:16] Binarization frame 36 complete!
[16.12.2020 | 14:37:16] Binarization frame 37 complete!
[16.12.2020 | 14:37:16] Binarization frame 38 complete!
[16.12.2020 | 14:37:16] Binarization frame 39 complete!
[16.12.2020 | 14:37:16] Binarization frame 40 complete!
[16.12.2020 | 14:37:16] Binarization frame 41 complete!
[16.12.2020 | 14:37:16] Binarization frame 42 complete!
[16.12.2020 | 14:37:16] Binarization frame 43 complete!
[16.12.2020 | 14:37:16] Binarization frame 44 complete!
[16.12.2020 | 14:37:16] Binarization frame 45 complete!
[16.12.2020 | 14:37:16] Binarization frame 46 complete!
[16.12.2020 | 14:37:16] Binarization frame 47 complete!
[16.12.2020 | 14:37:16] Binarization frame 48 complete!
[16.12.2020 | 14:37:16] Binarization frame 49 complete!
[16.12.2020 | 14:37:16] Binarization frame 50 complete!
[16.12.2020 | 14:37:16] Binarization frame 51 complete!
[16.12.2020 | 14:37:16] Binarization frame 52 complete!
[16.12.2020 | 14:37:16] Binarization frame 53 complete!
[16.12.2020 | 14:37:16] Binarization frame 54 complete!
[16.12.2020 | 14:37:16] Binarization frame 55 complete!
[16.12.2020 | 14:37:16] Binarization frame 56 complete!
[16.12.2020 | 14:37:16] Binarization frame 57 complete!
[16.12.2020 | 14:37:16] Binarization frame 58 complete!
[16.12.2020 | 14:37:16] Binarization frame 59 complete!
[16.12.2020 | 14:37:16] Binarization frame 60 complete!
[16.12.2020 | 14:37:16] Binarization frame 61 complete!
[16.12.2020 | 14:37:16] Binarization frame 62 complete!
[16.12.2020 | 14:37:16] Binarization frame 63 complete!
[16.12.2020 | 14:37:16] Binarization frame 64 complete!
[16.12.2020 | 14:37:16] Binarization frame 65 complete!
[16.12.2020 | 14:37:16] Binarization frame 66 complete!
[16.12.2020 | 14:37:16] Binarization frame 67 complete!
[16.12.2020 | 14:37:16] Binarization frame 68 complete!
[16.12.2020 | 14:37:16] Binarization frame 69 complete!
[16.12.2020 | 14:37:16] Binarization frame 70 complete!
[16.12.2020 | 14:37:16] Binarization frame 71 complete!
[16.12.2020 | 14:37:16] Binarization frame 72 complete!
[16.12.2020 | 14:37:16] Binarization frame 73 complete!
[16.12.2020 | 14:37:16] Binarization frame 74 complete!
[16.12.2020 | 14:37:16] Binarization frame 75 complete!
[16.12.2020 | 14:37:16] Binarization frame 76 complete!
[16.12.2020 | 14:37:16] Binarization frame 77 complete!
[16.12.2020 | 14:37:16] Binarization frame 78 complete!
[16.12.2020 | 14:37:16] Binarization frame 79 complete!
[16.12.2020 | 14:37:16] Binarization frame 80 complete!
[16.12.2020 | 14:37:16] Binarization frame 81 complete!
[16.12.2020 | 14:37:16] Binarization frame 82 complete!
[16.12.2020 | 14:37:16] Binarization frame 83 complete!
[16.12.2020 | 14:37:16] Binarization frame 84 complete!
[16.12.2020 | 14:37:16] Binarization frame 85 complete!
[16.12.2020 | 14:37:16] Binarization frame 86 complete!
[16.12.2020 | 14:37:16] Binarization frame 87 complete!
[16.12.2020 | 14:37:16] Binarization frame 88 complete!
[16.12.2020 | 14:37:16] Binarization frame 89 complete!
[16.12.2020 | 14:37:16] Binarization frame 90 complete!
[16.12.2020 | 14:37:16] Binarization frame 91 complete!
[16.12.2020 | 14:37:16] Binarization frame 92 complete!
[16.12.2020 | 14:37:16] Binarization frame 93 complete!
[16.12.2020 | 14:37:16] Binarization frame 94 complete!
[16.12.2020 | 14:37:16] Binarization frame 95 complete!
[16.12.2020 | 14:37:16] Binarization frame 96 complete!
[16.12.2020 | 14:37:16] Binarization frame 97 complete!
[16.12.2020 | 14:37:16] Binarization frame 98 complete!
[16.12.2020 | 14:37:16] Binarization frame 99 complete!
[16.12.2020 | 14:37:16] Binarization frame 100 complete!
[16.12.2020 | 14:37:16] Binarization frame 101 complete!
[16.12.2020 | 14:37:16] Binarization frame 102 complete!
[16.12.2020 | 14:37:16] Binarization frame 103 complete!
[16.12.2020 | 14:37:16] Binarization frame 104 complete!
[16.12.2020 | 14:37:16] Binarization frame 105 complete!
[16.12.2020 | 14:37:16] Binarization frame 106 complete!
[16.12.2020 | 14:37:16] Binarization frame 107 complete!
[16.12.2020 | 14:37:16] Binarization frame 108 complete!
[16.12.2020 | 14:37:16] Binarization frame 109 complete!
[16.12.2020 | 14:37:16] Binarization frame 110 complete!
[16.12.2020 | 14:37:16] Binarization frame 111 complete!
[16.12.2020 | 14:37:16] Binarization frame 112 complete!
[16.12.2020 | 14:37:16] Binarization frame 113 complete!
[16.12.2020 | 14:37:16] Binarization frame 114 complete!
[16.12.2020 | 14:37:16] Binarization frame 115 complete!
[16.12.2020 | 14:37:16] Binarization frame 116 complete!
[16.12.2020 | 14:37:16] Binarization frame 117 complete!
[16.12.2020 | 14:37:16] Binarization frame 118 complete!
[16.12.2020 | 14:37:16] Binarization frame 119 complete!
[16.12.2020 | 14:37:16] Binarization frame 120 complete!
[16.12.2020 | 14:37:16] Binarization frame 121 complete!
[16.12.2020 | 14:37:16] Binarization frame 122 complete!
[16.12.2020 | 14:37:16] Binarization frame 123 complete!
[16.12.2020 | 14:37:16] Binarization frame 124 complete!
[16.12.2020 | 14:37:16] Binarization frame 125 complete!
[16.12.2020 | 14:37:16] Binarization frame 126 complete!
[16.12.2020 | 14:37:16] Binarization frame 127 complete!
[16.12.2020 | 14:37:16] Binarization frame 128 complete!
[16.12.2020 | 14:37:16] Binarization frame 129 complete!
[16.12.2020 | 14:37:16] Binarization frame 130 complete!
[16.12.2020 | 14:37:16] Binarization frame 131 complete!
[16.12.2020 | 14:37:16] Binarization frame 132 complete!
[16.12.2020 | 14:37:16] Binarization frame 133 complete!
[16.12.2020 | 14:37:16] Binarization frame 134 complete!
[16.12.2020 | 14:37:16] Binarization frame 135 complete!
[16.12.2020 | 14:37:16] Binarization frame 136 complete!
[16.12.2020 | 14:37:16] Binarization frame 137 complete!
[16.12.2020 | 14:37:16] Binarization frame 138 complete!
