----------------------------------------
[23.12.2020 | 11:24:34] Binarization frame 109 complete!
[23.12.2020 | 11:24:34] Binarization frame 110 complete!
[23.12.2020 | 11:24:34] Binarization frame 111 complete!
[23.12.2020 | 11:24:34] Binarization frame 112 complete!
[23.12.2020 | 11:24:34] Binarization frame 113 complete!
[23.12.2020 | 11:24:34] Binarization frame 114 complete!
[23.12.2020 | 11:24:34] Binarization frame 115 complete!
[23.12.2020 | 11:24:34] Binarization frame 116 complete!
[23.12.2020 | 11:24:34] Binarization frame 117 complete!
[23.12.2020 | 11:24:34] Binarization frame 118 complete!
[23.12.2020 | 11:24:34] Binarization frame 119 complete!
[23.12.2020 | 11:24:34] Binarization frame 120 complete!
[23.12.2020 | 11:24:34] Binarization frame 121 complete!
[23.12.2020 | 11:24:34] Binarization frame 122 complete!
[23.12.2020 | 11:24:34] Binarization frame 123 complete!
[23.12.2020 | 11:24:34] Binarization frame 124 complete!
[23.12.2020 | 11:24:34] Binarization frame 125 complete!
[23.12.2020 | 11:24:34] Binarization frame 126 complete!
[23.12.2020 | 11:24:34] Binarization frame 127 complete!
[23.12.2020 | 11:24:34] Binarization frame 128 complete!
[23.12.2020 | 11:24:34] Binarization frame 129 complete!
[23.12.2020 | 11:24:34] Binarization frame 130 complete!
[23.12.2020 | 11:24:34] Binarization frame 131 complete!
[23.12.2020 | 11:24:34] Binarization frame 132 complete!
[23.12.2020 | 11:24:34] Binarization frame 133 complete!
[23.12.2020 | 11:24:34] Binarization frame 134 complete!
[23.12.2020 | 11:24:34] Binarization frame 135 complete!
[23.12.2020 | 11:24:34] Binarization frame 136 complete!
[23.12.2020 | 11:24:34] Binarization frame 137 complete!
[23.12.2020 | 11:24:34] Binarization frame 138 complete!
[23.12.2020 | 11:24:34] Binarization frame 139 complete!
[23.12.2020 | 11:24:34] Binarization frame 140 complete!
[23.12.2020 | 11:24:34] Binarization frame 141 complete!
[23.12.2020 | 11:24:34] Binarization frame 142 complete!
[23.12.2020 | 11:24:34] Binarization frame 143 complete!
[23.12.2020 | 11:24:34] Binarization frame 144 complete!
[23.12.2020 | 11:24:34] Binarization frame 145 complete!
[23.12.2020 | 11:24:34] Binarization frame 146 complete!
[23.12.2020 | 11:24:34] Binarization frame 147 complete!
[23.12.2020 | 11:24:34] Binarization frame 148 complete!
[23.12.2020 | 11:24:34] Binarization frame 149 complete!
[23.12.2020 | 11:24:34] Binarization frame 150 complete!
[23.12.2020 | 11:24:34] Binarization frame 151 complete!
[23.12.2020 | 11:24:34] Binarization frame 152 complete!
[23.12.2020 | 11:24:34] Binarization frame 153 complete!
[23.12.2020 | 11:24:34] Binarization frame 154 complete!
[23.12.2020 | 11:24:34] Binarization frame 155 complete!
[23.12.2020 | 11:24:34] Binarization frame 156 complete!
[23.12.2020 | 11:24:34] Binarization frame 157 complete!
[23.12.2020 | 11:24:34] Binarization frame 158 complete!
[23.12.2020 | 11:24:34] Binarization frame 159 complete!
[23.12.2020 | 11:24:34] Binarization frame 160 complete!
[23.12.2020 | 11:24:34] Binarization frame 161 complete!
[23.12.2020 | 11:24:34] Binarization frame 162 complete!
[23.12.2020 | 11:24:34] Binarization frame 163 complete!
[23.12.2020 | 11:24:34] Binarization frame 164 complete!
[23.12.2020 | 11:24:34] Binarization frame 165 complete!
[23.12.2020 | 11:24:34] Binarization frame 166 complete!
[23.12.2020 | 11:24:34] Binarization frame 167 complete!
[23.12.2020 | 11:24:34] Binarization frame 168 complete!
[23.12.2020 | 11:24:34] Binarization frame 169 complete!
[23.12.2020 | 11:24:34] Binarization frame 170 complete!
[23.12.2020 | 11:24:34] Binarization frame 171 complete!
[23.12.2020 | 11:24:34] Binarization frame 172 complete!
[23.12.2020 | 11:24:34] Binarization frame 173 complete!
[23.12.2020 | 11:24:34] Binarization frame 174 complete!
[23.12.2020 | 11:24:34] Binarization frame 175 complete!
[23.12.2020 | 11:24:34] Binarization frame 176 complete!
[23.12.2020 | 11:24:34] Binarization frame 177 complete!
[23.12.2020 | 11:24:34] Binarization frame 178 complete!
[23.12.2020 | 11:24:34] Binarization frame 179 complete!
[23.12.2020 | 11:24:34] Binarization frame 180 complete!
[23.12.2020 | 11:24:34] Binarization frame 181 complete!
[23.12.2020 | 11:24:34] Binarization frame 182 complete!
[23.12.2020 | 11:24:34] Binarization frame 183 complete!
[23.12.2020 | 11:24:34] Binarization frame 184 complete!
[23.12.2020 | 11:24:34] Binarization frame 185 complete!
[23.12.2020 | 11:24:34] Binarization frame 186 complete!
[23.12.2020 | 11:24:34] Binarization frame 187 complete!
[23.12.2020 | 11:24:34] Binarization frame 188 complete!
[23.12.2020 | 11:24:34] Binarization frame 189 complete!
[23.12.2020 | 11:24:34] Binarization frame 190 complete!
[23.12.2020 | 11:24:34] Binarization frame 191 complete!
[23.12.2020 | 11:24:34] Binarization frame 192 complete!
[23.12.2020 | 11:24:34] Binarization frame 193 complete!
[23.12.2020 | 11:24:34] Binarization frame 194 complete!
[23.12.2020 | 11:24:34] Binarization frame 195 complete!
[23.12.2020 | 11:24:34] Binarization frame 196 complete!
[23.12.2020 | 11:24:34] Binarization frame 197 complete!
[23.12.2020 | 11:24:34] Binarization frame 198 complete!
[23.12.2020 | 11:24:34] Binarization frame 199 complete!
[23.12.2020 | 11:24:34] Binarization frame 200 complete!
[23.12.2020 | 11:24:34] Binarization frame 201 complete!
[23.12.2020 | 11:24:34] Binarization frame 202 complete!
[23.12.2020 | 11:24:34] Binarization frame 203 complete!
[23.12.2020 | 11:24:34] Binarization frame 204 complete!
[23.12.2020 | 11:24:34] Binarization frame 205 complete!
[23.12.2020 | 11:24:34] Binarization frame 206 complete!
[23.12.2020 | 11:24:34] Binarization frame 207 complete!
[23.12.2020 | 11:24:34] Binarization frame 208 complete!
[23.12.2020 | 11:24:34] Binarization frame 209 complete!
[23.12.2020 | 11:24:34] Binarization frame 210 complete!
[23.12.2020 | 11:24:34] Binarization frame 211 complete!
[23.12.2020 | 11:24:34] Binarization frame 212 complete!
[23.12.2020 | 11:24:34] Binarization frame 213 complete!
[23.12.2020 | 11:24:34] Binarization frame 214 complete!
[23.12.2020 | 11:24:34] Binarization frame 215 complete!
[23.12.2020 | 11:24:34] Binarization frame 216 complete!
[23.12.2020 | 11:24:34] Binarization frame 217 complete!
[23.12.2020 | 11:24:34] Binarization frame 218 complete!
[23.12.2020 | 11:24:34] Binarization frame 219 complete!
[23.12.2020 | 11:24:34] Binarization frame 220 complete!
[23.12.2020 | 11:24:34] Binarization frame 221 complete!
[23.12.2020 | 11:24:34] Binarization frame 222 complete!
[23.12.2020 | 11:24:34] Binarization frame 223 complete!
[23.12.2020 | 11:24:34] Binarization frame 224 complete!
[23.12.2020 | 11:24:34] Binarization frame 225 complete!
[23.12.2020 | 11:24:34] Binarization frame 226 complete!
[23.12.2020 | 11:24:34] Binarization frame 227 complete!
[23.12.2020 | 11:24:34] Binarization frame 228 complete!
[23.12.2020 | 11:24:34] Binarization frame 229 complete!
[23.12.2020 | 11:24:34] Binarization frame 230 complete!
[23.12.2020 | 11:24:34] Binarization frame 231 complete!
[23.12.2020 | 11:24:34] Binarization frame 232 complete!
[23.12.2020 | 11:24:34] Binarization frame 233 complete!
[23.12.2020 | 11:24:34] Binarization frame 234 complete!
[23.12.2020 | 11:24:34] Binarization frame 235 complete!
[23.12.2020 | 11:24:34] Binarization frame 236 complete!
[23.12.2020 | 11:24:34] Binarization frame 237 complete!
[23.12.2020 | 11:24:34] Binarization frame 238 complete!
[23.12.2020 | 11:24:34] Binarization frame 239 complete!
[23.12.2020 | 11:24:34] Binarization frame 240 complete!
[23.12.2020 | 11:24:34] Binarization frame 241 complete!
[23.12.2020 | 11:24:34] Binarization frame 242 complete!
[23.12.2020 | 11:24:34] Binarization frame 243 complete!
[23.12.2020 | 11:24:34] Binarization frame 244 complete!
[23.12.2020 | 11:24:34] Binarization frame 245 complete!
[23.12.2020 | 11:24:34] Binarization frame 246 complete!
[23.12.2020 | 11:24:34] Binarization frame 247 complete!
[23.12.2020 | 11:24:34] Binarization frame 248 complete!
[23.12.2020 | 11:24:34] Binarization frame 249 complete!
[23.12.2020 | 11:24:34] Binarization frame 250 complete!
[23.12.2020 | 11:24:34] Binarization frame 251 complete!
[23.12.2020 | 11:24:34] Binarization frame 252 complete!
[23.12.2020 | 11:24:34] Binarization frame 253 complete!
[23.12.2020 | 11:24:34] Binarization frame 254 complete!
[23.12.2020 | 11:24:34] Binarization frame 255 complete!
[23.12.2020 | 11:24:34] Binarization frame 256 complete!
[23.12.2020 | 11:24:34] Binarization frame 257 complete!
[23.12.2020 | 11:24:34] Binarization frame 258 complete!
[23.12.2020 | 11:24:34] Binarization frame 259 complete!
[23.12.2020 | 11:24:34] Binarization frame 260 complete!
[23.12.2020 | 11:24:34] Binarization frame 261 complete!
[23.12.2020 | 11:24:34] Binarization frame 262 complete!
[23.12.2020 | 11:24:34] Binarization frame 263 complete!
[23.12.2020 | 11:24:34] Binarization frame 264 complete!
[23.12.2020 | 11:24:34] Binarization frame 265 complete!
[23.12.2020 | 11:24:34] Binarization frame 266 complete!
[23.12.2020 | 11:24:34] Binarization frame 267 complete!
[23.12.2020 | 11:24:34] Binarization frame 268 complete!
[23.12.2020 | 11:24:34] Binarization frame 269 complete!
[23.12.2020 | 11:24:34] Binarization frame 270 complete!
[23.12.2020 | 11:24:34] Binarization frame 271 complete!
[23.12.2020 | 11:24:34] Binarization frame 272 complete!
[23.12.2020 | 11:24:34] Binarization frame 273 complete!
[23.12.2020 | 11:24:34] Binarization frame 274 complete!
[23.12.2020 | 11:24:34] Binarization frame 275 complete!
[23.12.2020 | 11:24:34] Binarization frame 276 complete!
[23.12.2020 | 11:24:34] Binarization frame 277 complete!
[23.12.2020 | 11:24:34] Binarization frame 278 complete!
[23.12.2020 | 11:24:34] Binarization frame 279 complete!
[23.12.2020 | 11:24:34] Binarization frame 280 complete!
[23.12.2020 | 11:24:34] Binarization frame 281 complete!
[23.12.2020 | 11:24:34] Binarization frame 282 complete!
[23.12.2020 | 11:24:34] Binarization frame 283 complete!
[23.12.2020 | 11:24:34] Binarization frame 284 complete!
[23.12.2020 | 11:24:34] Binarization frame 285 complete!
[23.12.2020 | 11:24:34] Binarization frame 286 complete!
[23.12.2020 | 11:24:34] Binarization frame 287 complete!
[23.12.2020 | 11:24:34] Binarization frame 288 complete!
[23.12.2020 | 11:24:34] Binarization frame 289 complete!
[23.12.2020 | 11:24:34] Binarization frame 290 complete!
[23.12.2020 | 11:24:34] Binarization frame 291 complete!
[23.12.2020 | 11:24:34] Binarization frame 292 complete!
[23.12.2020 | 11:24:34] Binarization frame 293 complete!
[23.12.2020 | 11:24:34] Binarization frame 294 complete!
[23.12.2020 | 11:24:34] Binarization frame 295 complete!
[23.12.2020 | 11:24:34] Binarization frame 296 complete!
[23.12.2020 | 11:24:34] Binarization frame 297 complete!
[23.12.2020 | 11:24:34] Binarization frame 298 complete!
[23.12.2020 | 11:24:34] Binarization frame 299 complete!
[23.12.2020 | 11:24:34] Binarization frame 300 complete!
[23.12.2020 | 11:24:34] Binarization frame 301 complete!
[23.12.2020 | 11:24:34] Binarization frame 302 complete!
[23.12.2020 | 11:24:34] Binarization frame 303 complete!
[23.12.2020 | 11:24:34] Binarization frame 304 complete!
[23.12.2020 | 11:24:34] Binarization frame 305 complete!
[23.12.2020 | 11:24:34] Binarization frame 306 complete!
[23.12.2020 | 11:24:34] Binarization frame 307 complete!
[23.12.2020 | 11:24:34] Binarization frame 308 complete!
[23.12.2020 | 11:24:34] Binarization frame 309 complete!
[23.12.2020 | 11:24:34] Binarization frame 310 complete!
[23.12.2020 | 11:24:34] Binarization frame 311 complete!
[23.12.2020 | 11:24:34] Binarization frame 312 complete!
[23.12.2020 | 11:24:34] Binarization frame 313 complete!
[23.12.2020 | 11:24:34] Binarization frame 314 complete!
[23.12.2020 | 11:24:34] Binarization frame 315 complete!
[23.12.2020 | 11:24:34] Binarization frame 316 complete!
[23.12.2020 | 11:24:34] Binarization frame 317 complete!
[23.12.2020 | 11:24:34] Binarization frame 318 complete!
[23.12.2020 | 11:24:34] Binarization frame 319 complete!
[23.12.2020 | 11:24:34] Binarization frame 320 complete!
[23.12.2020 | 11:24:34] Binarization frame 321 complete!
[23.12.2020 | 11:24:34] Binarization frame 322 complete!
[23.12.2020 | 11:24:34] Binarization frame 323 complete!
[23.12.2020 | 11:24:34] Binarization frame 324 complete!
[23.12.2020 | 11:24:34] Binarization frame 325 complete!
[23.12.2020 | 11:24:34] Binarization frame 326 complete!
[23.12.2020 | 11:24:34] Binarization frame 327 complete!
[23.12.2020 | 11:24:34] Binarization frame 328 complete!
[23.12.2020 | 11:24:34] Binarization frame 329 complete!
[23.12.2020 | 11:24:34] Binarization frame 330 complete!
[23.12.2020 | 11:24:34] Binarization frame 331 complete!
[23.12.2020 | 11:24:34] Binarization frame 332 complete!
[23.12.2020 | 11:24:34] Binarization frame 333 complete!
[23.12.2020 | 11:24:34] Binarization frame 334 complete!
[23.12.2020 | 11:24:34] Binarization frame 335 complete!
[23.12.2020 | 11:24:34] Binarization frame 336 complete!
[23.12.2020 | 11:24:34] Binarization frame 337 complete!
[23.12.2020 | 11:24:34] Binarization frame 338 complete!
[23.12.2020 | 11:24:34] Binarization frame 339 complete!
[23.12.2020 | 11:24:34] Binarization frame 340 complete!
[23.12.2020 | 11:24:34] Binarization frame 341 complete!
[23.12.2020 | 11:24:34] Binarization frame 342 complete!
[23.12.2020 | 11:24:34] Binarization frame 343 complete!
[23.12.2020 | 11:24:34] Binarization frame 344 complete!
[23.12.2020 | 11:24:34] Binarization frame 345 complete!
[23.12.2020 | 11:24:34] Binarization frame 346 complete!
[23.12.2020 | 11:24:34] Binarization frame 347 complete!
[23.12.2020 | 11:24:34] Binarization frame 348 complete!
[23.12.2020 | 11:24:34] Binarization frame 349 complete!
[23.12.2020 | 11:24:34] Binarization frame 350 complete!
[23.12.2020 | 11:24:34] Binarization frame 351 complete!
[23.12.2020 | 11:24:34] Binarization frame 352 complete!
[23.12.2020 | 11:24:34] Binarization frame 353 complete!
[23.12.2020 | 11:24:34] Binarization frame 354 complete!
[23.12.2020 | 11:24:34] Binarization frame 355 complete!
[23.12.2020 | 11:24:34] Binarization frame 356 complete!
[23.12.2020 | 11:24:34] Binarization frame 357 complete!
[23.12.2020 | 11:24:34] Binarization frame 358 complete!
[23.12.2020 | 11:24:34] Binarization frame 359 complete!
