----------------------------------------
[18.12.2020 | 14:38:01] All frames loaded, count: 188
[18.12.2020 | 14:38:01] Binarization frame 0 complete!
[18.12.2020 | 14:38:01] Binarization frame 1 complete!
[18.12.2020 | 14:38:01] Binarization frame 2 complete!
[18.12.2020 | 14:38:01] Binarization frame 3 complete!
[18.12.2020 | 14:38:01] Binarization frame 4 complete!
[18.12.2020 | 14:38:01] Binarization frame 5 complete!
[18.12.2020 | 14:38:01] Binarization frame 6 complete!
[18.12.2020 | 14:38:01] Binarization frame 7 complete!
[18.12.2020 | 14:38:01] Binarization frame 8 complete!
[18.12.2020 | 14:38:01] Binarization frame 9 complete!
[18.12.2020 | 14:38:01] Binarization frame 10 complete!
[18.12.2020 | 14:38:01] Binarization frame 11 complete!
[18.12.2020 | 14:38:01] Binarization frame 12 complete!
[18.12.2020 | 14:38:01] Binarization frame 13 complete!
[18.12.2020 | 14:38:01] Binarization frame 14 complete!
[18.12.2020 | 14:38:01] Binarization frame 15 complete!
[18.12.2020 | 14:38:01] Binarization frame 16 complete!
[18.12.2020 | 14:38:01] Binarization frame 17 complete!
[18.12.2020 | 14:38:01] Binarization frame 18 complete!
[18.12.2020 | 14:38:01] Binarization frame 19 complete!
[18.12.2020 | 14:38:01] Binarization frame 20 complete!
[18.12.2020 | 14:38:01] Binarization frame 21 complete!
[18.12.2020 | 14:38:01] Binarization frame 22 complete!
[18.12.2020 | 14:38:01] Binarization frame 23 complete!
[18.12.2020 | 14:38:01] Binarization frame 24 complete!
[18.12.2020 | 14:38:01] Binarization frame 25 complete!
[18.12.2020 | 14:38:01] Binarization frame 26 complete!
[18.12.2020 | 14:38:01] Binarization frame 27 complete!
[18.12.2020 | 14:38:01] Binarization frame 28 complete!
[18.12.2020 | 14:38:01] Binarization frame 29 complete!
[18.12.2020 | 14:38:01] Binarization frame 30 complete!
[18.12.2020 | 14:38:01] Binarization frame 31 complete!
[18.12.2020 | 14:38:01] Binarization frame 32 complete!
[18.12.2020 | 14:38:01] Binarization frame 33 complete!
[18.12.2020 | 14:38:01] Binarization frame 34 complete!
[18.12.2020 | 14:38:01] Binarization frame 35 complete!
[18.12.2020 | 14:38:01] Binarization frame 36 complete!
[18.12.2020 | 14:38:01] Binarization frame 37 complete!
[18.12.2020 | 14:38:01] Binarization frame 38 complete!
[18.12.2020 | 14:38:01] Binarization frame 39 complete!
[18.12.2020 | 14:38:01] Binarization frame 40 complete!
[18.12.2020 | 14:38:01] Binarization frame 41 complete!
